Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL003 LP194 NP1-2,MNL003,LP194,NP1-2,MNL003 LP194,City Square,MANILA,3,1,BARANGAY 1,,,14.60575616,120.9656999,,,,,,,16,2019-01-30,OSP
MNL003 LP194 NP3-4,MNL003,LP194,NP3-4,MNL003 LP194,City Square,MANILA,3,1,BARANGAY 1,,,14.60539434,120.9658312,,,,,,,16,2019-01-30,OSP
MNL003 LP194 NP5-6,MNL003,LP194,NP5-6,MNL003 LP194,City Square,MANILA,3,1,BARANGAY 1,,,14.60514177,120.9658747,,,,,,,16,2019-01-30,OSP
MNL003 LP194 NP7-8,MNL003,LP194,NP7-8,MNL003 LP194,City Square,MANILA,3,1,BARANGAY 1,,,14.60491985,120.9659504,,,,,,,16,2019-01-30,OSP
MNL003 LP195 NP1-2,MNL003,LP195,NP1-2,MNL003 LP195,City Square,MANILA,3,1,BARANGAY 1,,,14.60450083,120.9661665,,,,,,,16,2019-01-30,OSP
MNL003 LP195 NP3-4,MNL003,LP195,NP3-4,MNL003 LP195,City Square,MANILA,3,1,BARANGAY 1,,,14.60398191,120.9663469,,,,,,,16,2019-01-30,OSP
MNL003 LP195 NP5-6,MNL003,LP195,NP5-6,MNL003 LP195,City Square,MANILA,3,1,BARANGAY 1,,,14.60355095,120.9666285,,,,,,,16,2019-01-30,OSP
MNL005 LP207 NP6-8,MNL005,LP207,NP6-8,MNL005 LP207,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 1,,,14.603873,120.96733,,,,,,,24,2021-09-25,OSP
MNL005 LP11 NP3-4,MNL005,LP11,NP3-4,MNL005 LP11,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 1,,,14.604044,120.967963,,,,,,,16,2020-08-30,OSP
MNL005 LP11 NP5-6,MNL005,LP11,NP5-6,MNL005 LP11,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 1,,,14.604489,120.966711,,,,,,,16,2020-08-30,OSP
MNL005 LP11 NP7-8,MNL005,LP11,NP7-8,MNL005 LP11,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 1,,,14.603999,120.967168,,,,,,,16,2020-08-30,OSP
MNL005 LP199 NP3-5,MNL005,LP199,NP3-5,MNL005 LP199,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 1,,,14.60393,120.96806,,,,,,,24,2021-09-25,OSP
MNL005 LP200 NP3-5,MNL005,LP200,NP3-5,MNL005 LP200,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 1,,,14.605972,120.96605,,,,,,,24,2021-09-25,OSP
