Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL005 LP222 NP3-5,MNL005,LP222,NP3-5,MNL005 LP222,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 274,,,14.600538,120.966441,,,,,,,24,2021-09-25,OSP
MNL005 LP25 NP1-2,MNL005,LP25,NP1-2,MNL005 LP25,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 274,,,14.600496,120.966484,,,,,,,16,2020-08-30,OSP
MNL005 LP25 NP3-4-5,MNL005,LP25,NP3-4-5,MNL005 LP25,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 274,,,14.60026,120.96666,,,,,,,24,2020-08-30,OSP
MNL005 LP25 NP6-7-8,MNL005,LP25,NP6-7-8,MNL005 LP25,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 274,,,14.600096,120.966783,,,,,,,24,2020-08-30,OSP
MNL005 LP23 NP5-6,MNL005,LP23,NP5-6,MNL005 LP23,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 274,,,14.601035,120.966898,,,,,,,16,2020-08-30,OSP
MNL005 LP222 NP6-8,MNL005,LP222,NP6-8,MNL005 LP222,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 274,,,14.600546,120.966448,,,,,,,24,2021-09-25,OSP
MNL003 LP197 NP5-6,MNL003,LP197,NP5-6,MNL003 LP197,City Square,MANILA,3,1,BARANGAY 275,,,14.59996361,120.9650226,,,,,,,16,2019-01-30,OSP
MNL003 LP450 NP1-2,MNL003,LP450,NP1-2,MNL003 LP450,City Square,MANILA,3,1,BARANGAY 275,,,14.598451,120.960487,,,,,,,16,2019-10-22,OSP
MNL003 LP450 NP3-4,MNL003,LP450,NP3-4,MNL003 LP450,City Square,MANILA,3,1,BARANGAY 275,,,14.598316,120.960106,,,,,,,16,2019-10-22,OSP
MNL003 LP450 NP5-6,MNL003,LP450,NP5-6,MNL003 LP450,City Square,MANILA,3,1,BARANGAY 275,,,14.598125,120.9597,,,,,,,16,2019-10-22,OSP
MNL003 LP450 NP7-8,MNL003,LP450,NP7-8,MNL003 LP450,City Square,MANILA,3,1,BARANGAY 275,,,14.597941,120.959287,,,,,,,16,2019-10-22,OSP
MNL003 LP451 NP1-2,MNL003,LP451,NP1-2,MNL003 LP451,City Square,MANILA,3,1,BARANGAY 275,,,14.597753,120.958859,,,,,,,16,2019-10-22,OSP
MNL003 LP451 NP3-4,MNL003,LP451,NP3-4,MNL003 LP451,City Square,MANILA,3,1,BARANGAY 275,,,14.597574,120.958468,,,,,,,16,2019-10-22,OSP
MNL003 LP451 NP5-6,MNL003,LP451,NP5-6,MNL003 LP451,City Square,MANILA,3,1,BARANGAY 275,,,14.597395,120.958034,,,,,,,16,2019-10-22,OSP
MNL003 LP451 NP7-8,MNL003,LP451,NP7-8,MNL003 LP451,City Square,MANILA,3,1,BARANGAY 275,,,14.5972,120.957614,,,,,,,16,2019-10-22,OSP
MNL003 LP452 NP3-4,MNL003,LP452,NP3-4,MNL003 LP452,City Square,MANILA,3,1,BARANGAY 275,,,14.596838,120.956773,,,,,,,16,2019-10-22,OSP
MNL003 LP452 NP5-6,MNL003,LP452,NP5-6,MNL003 LP452,City Square,MANILA,3,1,BARANGAY 275,,,14.59666,120.95635,,,,,,,16,2019-10-22,OSP
MNL003 LP452 NP7-8,MNL003,LP452,NP7-8,MNL003 LP452,City Square,MANILA,3,1,BARANGAY 275,,,14.596485,120.9559,,,,,,,16,2020-07-30,OSP
MNL003 LP358 NP3-4,MNL003,LP358,NP3-4,MNL003 LP358,City Square,MANILA,3,1,BARANGAY 275,,,14.59931929,120.9657978,,,,,,,16,2019-05-03,OSP
MNL003 LP358 NP5-6,MNL003,LP358,NP5-6,MNL003 LP358,City Square,MANILA,3,1,BARANGAY 275,,,14.59944074,120.9655159,,,,,,,16,2019-05-03,OSP
MNL003 LP358 NP7-8,MNL003,LP358,NP7-8,MNL003 LP358,City Square,MANILA,3,1,BARANGAY 275,,,14.59979817,120.965057,,,,,,,16,2019-05-03,OSP
MNL005 LP121 NP1-2,MNL005,LP121,NP1-2,MNL005 LP121,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599898,120.966884,,,,,,,16,2021-01-29,OSP
MNL005 LP122 NP1-2,MNL005,LP122,NP1-2,MNL005 LP122,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599637,120.965872,,,,,,,16,2021-01-29,OSP
MNL005 LP122 NP3-4-5,MNL005,LP122,NP3-4-5,MNL005 LP122,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599677,120.965586,,,,,,,24,2021-01-29,OSP
MNL005 LP122 NP6-7-8,MNL005,LP122,NP6-7-8,MNL005 LP122,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599641,120.965502,,,,,,,24,2021-01-29,OSP
MNL005 LP123 NP1-2,MNL005,LP123,NP1-2,MNL005 LP123,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599863,120.965684,,,,,,,16,2021-01-29,OSP
MNL005 LP125 NP1-2,MNL005,LP125,NP1-2,MNL005 LP125,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600302,120.966121,,,,,,,16,2021-01-29,OSP
MNL005 LP125 NP3-4-5,MNL005,LP125,NP3-4-5,MNL005 LP125,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600117,120.965903,,,,,,,24,2021-01-29,OSP
MNL005 LP125 NP6-7-8,MNL005,LP125,NP6-7-8,MNL005 LP125,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600021,120.965555,,,,,,,24,2021-01-29,OSP
MNL005 LP147 NP3-4-5,MNL005,LP147,NP3-4-5,MNL005 LP147,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.598589,120.966397,,,,,,,24,2021-01-29,OSP
MNL005 LP147 NP6-7-8,MNL005,LP147,NP6-7-8,MNL005 LP147,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.598337,120.966078,,,,,,,24,2021-01-29,OSP
MNL005 LP217 NP6-8,MNL005,LP217,NP6-8,MNL005 LP217,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599824,120.96673,,,,,,,24,2021-09-25,OSP
MNL005 LP218 NP1-2,MNL005,LP218,NP1-2,MNL005 LP218,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599821,120.96672,,,,,,,16,2021-09-25,OSP
MNL005 LP218 NP3-5,MNL005,LP218,NP3-5,MNL005 LP218,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599734,120.966422,,,,,,,24,2021-09-25,OSP
MNL005 LP218 NP6-8,MNL005,LP218,NP6-8,MNL005 LP218,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599733,120.966412,,,,,,,24,2021-09-25,OSP
MNL005 LP219 NP1-2,MNL005,LP219,NP1-2,MNL005 LP219,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599735,120.966174,,,,,,,16,2021-09-25,OSP
MNL005 LP219 NP3-5,MNL005,LP219,NP3-5,MNL005 LP219,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599719,120.965881,,,,,,,24,2021-09-25,OSP
MNL005 LP219 NP6-8,MNL005,LP219,NP6-8,MNL005 LP219,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599716,120.96587,,,,,,,24,2021-09-25,OSP
MNL005 LP220 NP1-3,MNL005,LP220,NP1-3,MNL005 LP220,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599773,120.96557,,,,,,,24,2021-09-25,OSP
MNL005 LP217 NP1-2,MNL005,LP217,NP1-2,MNL005 LP217,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599917,120.966889,,,,,,,16,2021-09-25,OSP
MNL005 LP217 NP3-5,MNL005,LP217,NP3-5,MNL005 LP217,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599828,120.966721,,,,,,,24,2021-09-25,OSP
MNL005 LP24 NP7-8,MNL005,LP24,NP7-8,MNL005 LP24,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.601044,120.966078,,,,,,,16,2020-08-30,OSP
MNL005 LP192 NP3-5,MNL005,LP192,NP3-5,MNL005 LP192,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.598379,120.96312,,,,,,,24,2021-08-30,OSP
MNL005 LP193 NP1-2,MNL005,LP193,NP1-2,MNL005 LP193,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.598442,120.96175,,,,,,,16,2021-08-30,OSP
MNL005 LP193 NP3-5,MNL005,LP193,NP3-5,MNL005 LP193,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.598444,120.961,,,,,,,24,2021-08-30,OSP
MNL005 LP193 NP6-8,MNL005,LP193,NP6-8,MNL005 LP193,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.598467,120.96052,,,,,,,24,2021-08-30,OSP
MNL005 LP114 NP6-7-8,MNL005,LP114,NP6-7-8,MNL005 LP114,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600703,120.966279,,,,,,,24,2021-01-29,OSP
MNL005 LP115 NP1-2,MNL005,LP115,NP1-2,MNL005 LP115,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600983,120.966073,,,,,,,16,2021-01-29,OSP
MNL005 LP131 NP6-7-8,MNL005,LP131,NP6-7-8,MNL005 LP131,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599542,120.965302,,,,,,,24,2021-01-29,OSP
MNL005 LP132 NP1-2,MNL005,LP132,NP1-2,MNL005 LP132,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599639,120.965177,,,,,,,16,2021-01-29,OSP
MNL005 LP130 NP3-4-5,MNL005,LP130,NP3-4-5,MNL005 LP130,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599144,120.966138,,,,,,,24,2021-01-29,OSP
MNL005 LP130 NP6-7-8,MNL005,LP130,NP6-7-8,MNL005 LP130,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599268,120.965873,,,,,,,24,2021-01-29,OSP
MNL005 LP131 NP1-2,MNL005,LP131,NP1-2,MNL005 LP131,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599379,120.96559,,,,,,,16,2021-01-29,OSP
MNL005 LP131 NP3-4-5,MNL005,LP131,NP3-4-5,MNL005 LP131,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.599452,120.96543,,,,,,,24,2021-01-29,OSP
MNL005 LP223 NP1-2,MNL005,LP223,NP1-2,MNL005 LP223,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600411,120.966334,,,,,,,16,2021-09-25,OSP
MNL005 LP223 NP3-5,MNL005,LP223,NP3-5,MNL005 LP223,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600418,120.966333,,,,,,,24,2021-09-25,OSP
MNL005 LP223 NP6-8,MNL005,LP223,NP6-8,MNL005 LP223,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600325,120.966124,,,,,,,24,2021-09-25,OSP
MNL005 LP224 NP1-2,MNL005,LP224,NP1-2,MNL005 LP224,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600322,120.966119,,,,,,,16,2021-09-25,OSP
MNL005 LP224 NP3-5,MNL005,LP224,NP3-5,MNL005 LP224,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.60018,120.965908,,,,,,,24,2021-09-25,OSP
MNL005 LP224 NP6-8,MNL005,LP224,NP6-8,MNL005 LP224,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600165,120.965803,,,,,,,24,2021-09-25,OSP
MNL005 LP225 NP1-2,MNL005,LP225,NP1-2,MNL005 LP225,Orchard Building (City Square 2),MANILA,3,1,BARANGAY 275,,,14.600118,120.965687,,,,,,,16,2021-09-25,OSP
