Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL037 LP3 NP1-2,MNL037,LP3,NP1-2,MNL037 LP3,Tayuman,MANILA,3,1,BARANGAY 226,,,14.616854,120.977495,,,,,,,16,2020-09-29,OSP
MNL003 LP69 NP3-4,MNL003,LP69,NP3-4,MNL003 LP69,City Square,MANILA,3,1,BARANGAY 227,,,14.62103063,120.9768742,,,,,,,16,2018-08-27,OSP
MNL003 LP70 NP3-4,MNL003,LP70,NP3-4,MNL003 LP70,City Square,MANILA,3,1,BARANGAY 227,,,14.62237002,120.9762735,,,,,,,16,2018-08-27,OSP
MNL003 LP70 NP5-6,MNL003,LP70,NP5-6,MNL003 LP70,City Square,MANILA,3,1,BARANGAY 227,,,14.62236764,120.9770713,,,,,,,16,2018-08-27,OSP
MNL037 LP330 NP1-2,MNL037,LP330,NP1-2,MNL037 LP330,Tayuman,MANILA,3,1,BARANGAY 227,,,14.623002,120.976908,,,,,,,16,2022-01-17,OSP
MNL037 LP330 NP3-5,MNL037,LP330,NP3-5,MNL037 LP330,Tayuman,MANILA,3,1,BARANGAY 227,,,14.622919,120.976651,,,,,,,24,2022-01-17,OSP
MNL037 LP332 NP3-5,MNL037,LP332,NP3-5,MNL037 LP332,Tayuman,MANILA,3,1,BARANGAY 227,,,14.622379,120.976267,,,,,,,24,2022-01-17,OSP
MNL037 LP332 NP6-8,MNL037,LP332,NP6-8,MNL037 LP332,Tayuman,MANILA,3,1,BARANGAY 227,,,14.622176,120.976246,,,,,,,24,2022-01-17,OSP
MNL037 LP333 NP1-2,MNL037,LP333,NP1-2,MNL037 LP333,Tayuman,MANILA,3,1,BARANGAY 227,,,14.622025,120.976225,,,,,,,16,2022-01-17,OSP
MNL037 LP334 NP1-2,MNL037,LP334,NP1-2,MNL037 LP334,Tayuman,MANILA,3,1,BARANGAY 227,,,14.621838,120.976205,,,,,,,16,2022-01-17,OSP
