Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL004 LP630 NP3-4,MNL004,LP630,NP3-4,MNL004 LP630,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.574345,121.001679,,,,,,,16,2023-03-31,OSP
MNL004 LP630 NP5-6,MNL004,LP630,NP5-6,MNL004 LP630,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.574032,121.002087,,,,,,,16,2023-03-31,OSP
MNL004 LP630 NP7-8,MNL004,LP630,NP7-8,MNL004 LP630,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.573788,121.002343,,,,,,,16,2023-03-31,OSP
MNL004 LP631 NP1-2,MNL004,LP631,NP1-2,MNL004 LP631,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.573514,121.002642,,,,,,,16,2023-03-31,OSP
MNL004 LP631 NP3-4,MNL004,LP631,NP3-4,MNL004 LP631,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.573323,121.002843,,,,,,,16,2023-03-31,OSP
MNL004 LP631 NP5-6,MNL004,LP631,NP5-6,MNL004 LP631,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.573189,121.002563,,,,,,,16,2023-03-31,OSP
MNL004 LP631 NP7-8,MNL004,LP631,NP7-8,MNL004 LP631,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.573408,121.002334,,,,,,,16,2023-03-31,OSP
MNL004 LP632 NP1-2,MNL004,LP632,NP1-2,MNL004 LP632,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.57361,121.00211,,,,,,,16,2023-03-31,OSP
MNL004 LP632 NP3-5,MNL004,LP632,NP3-5,MNL004 LP632,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.573981,121.001728,,,,,,,24,2023-03-31,OSP
MNL004 LP40 NP1-2,MNL004,LP40,NP1-2,MNL004 LP40,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.57233353,121.0022062,,,,,,,16,2019-10-01,OSP
MNL004 LP40 NP3-4,MNL004,LP40,NP3-4,MNL004 LP40,Zamora Pandacan,MANILA,3,2,BARANGAY 802,,,14.57269181,121.0025656,,,,,,,16,2019-10-01,OSP
MNL034 LP62 NP5-6,MNL034,LP62,NP5-6,MNL034 LP62,Benitez,MANILA,3,2,BARANGAY 803,,,14.572974,121.001291,,,,,,,16,2020-06-22,OSP
MNL034 LP60 NP1-2,MNL034,LP60,NP1-2,MNL034 LP60,Benitez,MANILA,3,2,BARANGAY 803,,,14.57264,120.999999,,,,,,,16,2020-06-22,OSP
MNL034 LP60 NP3-4,MNL034,LP60,NP3-4,MNL034 LP60,Benitez,MANILA,3,2,BARANGAY 803,,,14.571082,121.000806,,,,,,,16,2020-06-22,OSP
MNL034 LP60 NP7-8,MNL034,LP60,NP7-8,MNL034 LP60,Benitez,MANILA,3,2,BARANGAY 803,,,14.572053,121.000762,,,,,,,16,2020-06-22,OSP
MNL034 LP61 NP1-2,MNL034,LP61,NP1-2,MNL034 LP61,Benitez,MANILA,3,2,BARANGAY 803,,,14.572494,121.000795,,,,,,,16,2020-06-22,OSP
MNL034 LP61 NP3-4,MNL034,LP61,NP3-4,MNL034 LP61,Benitez,MANILA,3,2,BARANGAY 803,,,14.572033,121.00127,,,,,,,16,2020-06-22,OSP
MNL034 LP61 NP5-6,MNL034,LP61,NP5-6,MNL034 LP61,Benitez,MANILA,3,2,BARANGAY 803,,,14.572652,121.001122,,,,,,,16,2020-06-22,OSP
MNL004 LP530 NP3-5,MNL004,LP530,NP3-5,MNL004 LP530,Zamora Pandacan,MANILA,3,2,BARANGAY 803,,,14.572453,121.000072,,,,,,,24,2022-12-29,OSP
