Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL002 LP197 NP7-8,MNL002,LP197,NP7-8,MNL002 LP197,Don Quintos,MANILA,3,1,BARANGAY 432,,,14.60741,120.9968,,,,,,,16,2019-05-31,OSP
MNL002 LP198 NP1-2,MNL002,LP198,NP1-2,MNL002 LP198,Don Quintos,MANILA,3,1,BARANGAY 432,,,14.60657,120.9971,,,,,,,16,2019-05-31,OSP
MNL002 LP51 NP7-8,MNL002,LP51,NP7-8,MNL002 LP51,Don Quintos,MANILA,3,1,BARANGAY 432,,,14.604786,120.998414,,,,,,,16,2018-02-04,OSP
MNL046 LP12 NP1-2,MNL046,LP12,NP1-2,MNL046 LP12,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.604559,120.99799,,,,,,,16,2022-03-10,OSP
MNL046 LP12 NP3-5,MNL046,LP12,NP3-5,MNL046 LP12,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.604736,120.99837,,,,,,,24,2022-03-10,OSP
MNL046 LP12 NP6-8,MNL046,LP12,NP6-8,MNL046 LP12,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.604881,120.99854,,,,,,,24,2022-03-10,OSP
MNL046 LP20 NP3-5,MNL046,LP20,NP3-5,MNL046 LP20,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.607395,120.99749,,,,,,,24,2022-03-10,OSP
MNL046 LP20 NP6-8,MNL046,LP20,NP6-8,MNL046 LP20,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.607086,120.99762,,,,,,,24,2022-03-10,OSP
MNL046 LP21 NP1-2,MNL046,LP21,NP1-2,MNL046 LP21,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.606738,120.99774,,,,,,,16,2022-03-10,OSP
MNL046 LP21 NP3-5,MNL046,LP21,NP3-5,MNL046 LP21,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605969,120.99798,,,,,,,24,2022-03-10,OSP
MNL046 LP21 NP6-8,MNL046,LP21,NP6-8,MNL046 LP21,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605566,120.99811,,,,,,,24,2022-03-10,OSP
MNL046 LP11 NP1-2,MNL046,LP11,NP1-2,MNL046 LP11,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.606733,120.99707,,,,,,,16,2022-03-10,OSP
MNL046 LP11 NP3-5,MNL046,LP11,NP3-5,MNL046 LP11,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.606379,120.99719,,,,,,,24,2022-03-10,OSP
MNL046 LP11 NP6-8,MNL046,LP11,NP6-8,MNL046 LP11,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605627,120.99742,,,,,,,24,2022-03-10,OSP
MNL046 LP10 NP1-2,MNL046,LP10,NP1-2,MNL046 LP10,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.608058,120.99621,,,,,,,16,2022-03-10,OSP
MNL046 LP10 NP3-5,MNL046,LP10,NP3-5,MNL046 LP10,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.607752,120.99649,,,,,,,24,2022-03-10,OSP
MNL046 LP10 NP6-8,MNL046,LP10,NP6-8,MNL046 LP10,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.607402,120.99686,,,,,,,24,2022-03-10,OSP
MNL046 LP13 NP1-2,MNL046,LP13,NP1-2,MNL046 LP13,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.604996,120.99872,,,,,,,16,2022-03-10,OSP
MNL046 LP6 NP5-6,MNL046,LP6,NP5-6,MNL046 LP6,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605209,120.99723,,,,,,,16,2022-03-10,OSP
MNL046 LP6 NP7-8,MNL046,LP6,NP7-8,MNL046 LP6,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.604613,120.99765,,,,,,,16,2022-03-10,OSP
MNL046 LP329 NP5-6,MNL046,LP329,NP5-6,MNL046 LP329,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605456,120.997048,,,,,,,16,2024-01-11,OSP
MNL046 LP329 NP7-8,MNL046,LP329,NP7-8,MNL046 LP329,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605232,120.997244,,,,,,,16,2024-01-11,OSP
MNL046 LP330 NP1-2,MNL046,LP330,NP1-2,MNL046 LP330,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.604692,120.997629,,,,,,,16,2024-01-11,OSP
MNL046 LP323 NP5-6,MNL046,LP323,NP5-6,MNL046 LP323,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.604487,120.99803,,,,,,,16,2024-01-11,OSP
MNL046 LP324 NP1-2,MNL046,LP324,NP1-2,MNL046 LP324,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605653,120.997392,,,,,,,16,2024-01-11,OSP
MNL046 LP324 NP3-4,MNL046,LP324,NP3-4,MNL046 LP324,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.606098,120.997252,,,,,,,16,2024-01-11,OSP
MNL046 LP324 NP5-6,MNL046,LP324,NP5-6,MNL046 LP324,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.606313,120.997185,,,,,,,16,2024-01-11,OSP
MNL046 LP324 NP7-8,MNL046,LP324,NP7-8,MNL046 LP324,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.606946,120.996981,,,,,,,16,2024-01-11,OSP
MNL046 LP325 NP1-2,MNL046,LP325,NP1-2,MNL046 LP325,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.607745,120.996562,,,,,,,16,2024-01-11,OSP
MNL046 LP325 NP3-4,MNL046,LP325,NP3-4,MNL046 LP325,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.60807,120.996265,,,,,,,16,2024-01-11,OSP
MNL046 LP321 NP3-4,MNL046,LP321,NP3-4,MNL046 LP321,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.60745,120.99752,,,,,,,16,2024-01-11,OSP
MNL046 LP321 NP5-6,MNL046,LP321,NP5-6,MNL046 LP321,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.607032,120.997658,,,,,,,16,2024-01-11,OSP
MNL046 LP321 NP7-8,MNL046,LP321,NP7-8,MNL046 LP321,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.606686,120.99777,,,,,,,16,2024-01-11,OSP
MNL046 LP322 NP1-2,MNL046,LP322,NP1-2,MNL046 LP322,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.606336,120.997857,,,,,,,16,2024-01-11,OSP
MNL046 LP322 NP3-4,MNL046,LP322,NP3-4,MNL046 LP322,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605883,120.998028,,,,,,,16,2024-01-11,OSP
MNL046 LP322 NP5-6,MNL046,LP322,NP5-6,MNL046 LP322,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605494,120.998096,,,,,,,16,2024-01-11,OSP
MNL046 LP322 NP7-8,MNL046,LP322,NP7-8,MNL046 LP322,Reten Apartment,MANILA,3,1,BARANGAY 432,,,14.605393,120.99776,,,,,,,16,2024-01-11,OSP
