Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL003 LP461 NP5-6,MNL003,LP461,NP5-6,MNL003 LP461,City Square,MANILA,3,1,BARANGAY 146,,,14.633424,120.96768,,,,,,,16,2019-11-20,OSP
MNL003 LP461 NP7-8,MNL003,LP461,NP7-8,MNL003 LP461,City Square,MANILA,3,1,BARANGAY 146,,,14.634298,120.967284,,,,,,,16,2019-11-20,OSP
MNL003 LP462 NP1-2,MNL003,LP462,NP1-2,MNL003 LP462,City Square,MANILA,3,1,BARANGAY 146,,,14.632855,120.967928,,,,,,,16,2019-11-20,OSP
MNL003 LP463 NP5-6,MNL003,LP463,NP5-6,MNL003 LP463,City Square,MANILA,3,1,BARANGAY 146,,,14.633003,120.968169,,,,,,,16,2019-11-20,OSP
MNL003 LP463 NP7-8,MNL003,LP463,NP7-8,MNL003 LP463,City Square,MANILA,3,1,BARANGAY 146,,,14.634067,120.967693,,,,,,,16,2019-11-20,OSP
MNL003 LP464 NP1-2,MNL003,LP464,NP1-2,MNL003 LP464,City Square,MANILA,3,1,BARANGAY 146,,,14.633522,120.967941,,,,,,,16,2019-11-20,OSP
MNL003 LP464 NP3-4,MNL003,LP464,NP3-4,MNL003 LP464,City Square,MANILA,3,1,BARANGAY 146,,,14.633634,120.96819,,,,,,,16,2019-11-20,OSP
MNL003 LP464 NP5-6,MNL003,LP464,NP5-6,MNL003 LP464,City Square,MANILA,3,1,BARANGAY 146,,,14.632718,120.968613,,,,,,,16,2019-11-20,OSP
MNL003 LP464 NP7-8,MNL003,LP464,NP7-8,MNL003 LP464,City Square,MANILA,3,1,BARANGAY 146,,,14.634555,120.967811,,,,,,,16,2019-11-20,OSP
MNL003 LP460 NP7-8,MNL003,LP460,NP7-8,MNL003 LP460,City Square,MANILA,3,1,BARANGAY 146,,,14.63274,120.967653,,,,,,,16,2019-11-20,OSP
MNL003 LP461 NP1-2,MNL003,LP461,NP1-2,MNL003 LP461,City Square,MANILA,3,1,BARANGAY 146,,,14.633287,120.967411,,,,,,,16,2019-11-20,OSP
MNL003 LP85 NP7-8,MNL003,LP85,NP7-8,MNL003 LP85,City Square,MANILA,3,1,BARANGAY 146,,,14.63273547,120.9686563,,,,,,,16,2018-11-11,OSP
MNL003 LP86 NP1-2,MNL003,LP86,NP1-2,MNL003 LP86,City Square,MANILA,3,1,BARANGAY 146,,,14.63250222,120.9681263,,,,,,,16,2018-11-11,OSP
MNL045 LP585 NP3-5,MNL045,LP585,NP3-5,MNL045 LP585,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.632858,120.968923,,,,,,,24,2022-02-14,OSP
MNL045 LP585 NP6-8,MNL045,LP585,NP6-8,MNL045 LP585,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.632745,120.968655,,,,,,,24,2022-02-14,OSP
MNL045 LP586 NP1-2,MNL045,LP586,NP1-2,MNL045 LP586,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.632615,120.968351,,,,,,,16,2022-02-14,OSP
MNL045 LP586 NP3-5,MNL045,LP586,NP3-5,MNL045 LP586,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.632514,120.968121,,,,,,,24,2022-02-14,OSP
MNL045 LP586 NP6-8,MNL045,LP586,NP6-8,MNL045 LP586,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.632398,120.967856,,,,,,,24,2022-02-14,OSP
MNL045 LP580 NP1-2,MNL045,LP580,NP1-2,MNL045 LP580,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634426,120.968157,,,,,,,16,2022-02-14,OSP
MNL045 LP582 NP1-2,MNL045,LP582,NP1-2,MNL045 LP582,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634018,120.968238,,,,,,,16,2022-02-14,OSP
MNL045 LP575 NP1-2,MNL045,LP575,NP1-2,MNL045 LP575,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.633539,120.967925,,,,,,,16,2022-02-14,OSP
MNL045 LP575 NP3-5,MNL045,LP575,NP3-5,MNL045 LP575,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.633837,120.967776,,,,,,,24,2022-02-14,OSP
MNL045 LP575 NP6-8,MNL045,LP575,NP6-8,MNL045 LP575,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.633836,120.96779,,,,,,,24,2022-02-14,OSP
MNL045 LP576 NP1-2,MNL045,LP576,NP1-2,MNL045 LP576,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634165,120.967617,,,,,,,16,2022-02-14,OSP
MNL045 LP576 NP3-5,MNL045,LP576,NP3-5,MNL045 LP576,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634332,120.967542,,,,,,,24,2022-02-14,OSP
MNL045 LP576 NP6-8,MNL045,LP576,NP6-8,MNL045 LP576,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634334,120.967533,,,,,,,24,2022-02-14,OSP
MNL045 LP577 NP1-2,MNL045,LP577,NP1-2,MNL045 LP577,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.633648,120.968193,,,,,,,16,2022-02-14,OSP
MNL045 LP577 NP3-5,MNL045,LP577,NP3-5,MNL045 LP577,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634218,120.967943,,,,,,,24,2022-02-14,OSP
MNL045 LP577 NP6-8,MNL045,LP577,NP6-8,MNL045 LP577,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634213,120.967952,,,,,,,24,2022-02-14,OSP
MNL045 LP578 NP1-2,MNL045,LP578,NP1-2,MNL045 LP578,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634413,120.967866,,,,,,,16,2022-02-14,OSP
MNL045 LP578 NP3-5,MNL045,LP578,NP3-5,MNL045 LP578,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634404,120.967867,,,,,,,24,2022-02-14,OSP
MNL045 LP579 NP1-2,MNL045,LP579,NP1-2,MNL045 LP579,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.633762,120.968445,,,,,,,16,2022-02-14,OSP
MNL045 LP579 NP3-5,MNL045,LP579,NP3-5,MNL045 LP579,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.633761,120.96844,,,,,,,24,2022-02-14,OSP
MNL045 LP579 NP6-8,MNL045,LP579,NP6-8,MNL045 LP579,Radial Road 10,MANILA,3,1,BARANGAY 146,,,14.634123,120.968282,,,,,,,24,2022-02-14,OSP
