Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL035 LP475 NP1-2,MNL035,LP475,NP1-2,MNL035 LP475,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.607132,121.01362,,,,,,,16,2023-04-30,OSP
MNL035 LP475 NP3-4,MNL035,LP475,NP3-4,MNL035 LP475,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.60708708,121.0132308,,,,,,,16,2023-04-30,OSP
MNL035 LP475 NP5-6,MNL035,LP475,NP5-6,MNL035 LP475,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.60713293,121.0128188,,,,,,,16,2023-04-30,OSP
MNL035 LP475 NP7-8,MNL035,LP475,NP7-8,MNL035 LP475,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.60694155,121.0126218,,,,,,,16,2023-04-30,OSP
MNL035 LP476 NP1-2,MNL035,LP476,NP1-2,MNL035 LP476,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.606542,121.01247,,,,,,,16,2023-04-30,OSP
MNL035 LP476 NP3-4,MNL035,LP476,NP3-4,MNL035 LP476,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.606227,121.01223,,,,,,,16,2023-04-30,OSP
MNL035 LP476 NP5-6,MNL035,LP476,NP5-6,MNL035 LP476,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.60595369,121.0120325,,,,,,,16,2023-04-30,OSP
MNL035 LP477 NP1-2,MNL035,LP477,NP1-2,MNL035 LP477,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.60627,121.01121,,,,,,,16,2023-04-30,OSP
MNL035 LP477 NP3-4,MNL035,LP477,NP3-4,MNL035 LP477,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.60672565,121.0103414,,,,,,,16,2023-04-30,OSP
MNL035 LP477 NP5-6,MNL035,LP477,NP5-6,MNL035 LP477,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.60689731,121.0099372,,,,,,,16,2023-04-30,OSP
MNL035 LP477 NP7-8,MNL035,LP477,NP7-8,MNL035 LP477,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.60714681,121.0094576,,,,,,,16,2023-04-30,OSP
MNL035 LP478 NP3-4,MNL035,LP478,NP3-4,MNL035 LP478,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.606675,121.01362,,,,,,,16,2023-04-29,OSP
MNL035 LP21 NP6-7-8,MNL035,LP21,NP6-7-8,MNL035 LP21,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 584,,,14.607643,121.012594,,,,,,,24,2021-04-29,OSP
MNL002 LP13 NP3,MNL002,LP13,NP3,MNL002 LP13,Don Quintos,MANILA,3,1,BARANGAY 585,,,14.604693,121.012729,,,,,,,8,2017-09-25,OSP
MNL002 LP13 NP4,MNL002,LP13,NP4,MNL002 LP13,Don Quintos,MANILA,3,1,BARANGAY 585,,,14.603308,121.013428,,,,,,,8,2017-09-25,OSP
MNL002 LP14 NP7-8,MNL002,LP14,NP7-8,MNL002 LP14,Don Quintos,MANILA,3,1,BARANGAY 585,,,14.605655,121.013245,,,,,,,16,2020-08-06,OSP
MNL002 LP15 NP3-4,MNL002,LP15,NP3-4,MNL002 LP15,Don Quintos,MANILA,3,1,BARANGAY 585,,,14.60542,121.013936,,,,,,,16,2017-09-25,OSP
MNL002 LP8 NP7-8,MNL002,LP8,NP7-8,MNL002 LP8,Don Quintos,MANILA,3,1,BARANGAY 585,,,14.602849,121.013542,,,,,,,16,2017-02-12,OSP
