Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL035 LP505 NP1-2,MNL035,LP505,NP1-2,MNL035 LP505,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.615903,121.00047,,,,,,,16,2023-04-30,OSP
MNL035 LP49 NP3-4,MNL035,LP49,NP3-4,MNL035 LP49,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.616521,121.00155,,,,,,,16,2021-04-28,OSP
MNL035 LP49 NP5-6,MNL035,LP49,NP5-6,MNL035 LP49,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.616114,121.001351,,,,,,,16,2021-04-28,OSP
MNL035 LP49 NP7-8,MNL035,LP49,NP7-8,MNL035 LP49,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.61632,121.0009,,,,,,,16,2021-04-28,OSP
MNL035 LP505 NP3-4,MNL035,LP505,NP3-4,MNL035 LP505,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.615903,121.00047,,,,,,,16,2023-04-30,OSP
MNL035 LP505 NP7-8,MNL035,LP505,NP7-8,MNL035 LP505,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.615736,121.0009,,,,,,,16,2023-04-30,OSP
MNL035 LP506 NP1-2,MNL035,LP506,NP1-2,MNL035 LP506,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.615574,121.00131,,,,,,,16,2023-04-30,OSP
MNL035 LP506 NP3-4,MNL035,LP506,NP3-4,MNL035 LP506,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.615312,121.00134,,,,,,,16,2023-04-30,OSP
MNL035 LP51 NP1-2,MNL035,LP51,NP1-2,MNL035 LP51,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.615624,121.001273,,,,,,,16,2021-04-28,OSP
MNL035 LP51 NP6-7-8,MNL035,LP51,NP6-7-8,MNL035 LP51,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 530,,,14.615886,121.000404,,,,,,,24,2021-04-28,OSP
MNL002 LP105 NP3-4,MNL002,LP105,NP3-4,MNL002 LP105,Don Quintos,MANILA,3,1,BARANGAY 531,,,14.615318,121.002038,,,,,,,16,2018-05-10,OSP
MNL002 LP105 NP5-6,MNL002,LP105,NP5-6,MNL002 LP105,Don Quintos,MANILA,3,1,BARANGAY 531,,,14.61496,121.002837,,,,,,,16,2018-05-10,OSP
MNL002 LP103 NP1-2,MNL002,LP103,NP1-2,MNL002 LP103,Don Quintos,MANILA,3,1,BARANGAY 531,,,14.61482,121.003647,,,,,,,16,2018-05-10,OSP
MNL002 LP103 NP3-4,MNL002,LP103,NP3-4,MNL002 LP103,Don Quintos,MANILA,3,1,BARANGAY 531,,,14.615538,121.002741,,,,,,,16,2018-05-10,OSP
MNL002 LP103 NP5-6,MNL002,LP103,NP5-6,MNL002 LP103,Don Quintos,MANILA,3,1,BARANGAY 531,,,14.616065,121.002053,,,,,,,16,2018-05-10,OSP
MNL002 LP103 NP7-8,MNL002,LP103,NP7-8,MNL002 LP103,Don Quintos,MANILA,3,1,BARANGAY 531,,,14.61547,121.001774,,,,,,,16,2020-08-05,OSP
MNL002 LP347 NP3-4,MNL002,LP347,NP3-4,MNL002 LP347,Don Quintos,MANILA,3,1,BARANGAY 531,,,14.614458,121.003539,,,,,,,16,2020-03-16,OSP
MNL035 LP47 NP1-2,MNL035,LP47,NP1-2,MNL035 LP47,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614892,121.002911,,,,,,,16,2021-04-28,OSP
MNL035 LP47 NP3-4-5,MNL035,LP47,NP3-4-5,MNL035 LP47,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614821,121.003139,,,,,,,24,2021-04-28,OSP
MNL035 LP47 NP6-7-8,MNL035,LP47,NP6-7-8,MNL035 LP47,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615092,121.003377,,,,,,,24,2021-04-28,OSP
MNL035 LP48 NP1-2,MNL035,LP48,NP1-2,MNL035 LP48,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615317,121.0031,,,,,,,16,2021-04-28,OSP
MNL035 LP48 NP3-4-5,MNL035,LP48,NP3-4-5,MNL035 LP48,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615566,121.002766,,,,,,,24,2021-04-28,OSP
MNL035 LP48 NP6-7-8,MNL035,LP48,NP6-7-8,MNL035 LP48,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615821,121.002429,,,,,,,24,2021-04-28,OSP
MNL035 LP494 NP5-6,MNL035,LP494,NP5-6,MNL035 LP494,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614409,121.00349,,,,,,,16,2023-04-30,OSP
MNL035 LP494 NP7-8,MNL035,LP494,NP7-8,MNL035 LP494,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614409,121.00349,,,,,,,16,2023-04-30,OSP
MNL035 LP495 NP1-2,MNL035,LP495,NP1-2,MNL035 LP495,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614632,121.00362,,,,,,,16,2023-04-30,OSP
MNL035 LP495 NP3-4,MNL035,LP495,NP3-4,MNL035 LP495,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614632,121.00362,,,,,,,16,2023-04-30,OSP
MNL035 LP495 NP5-6,MNL035,LP495,NP5-6,MNL035 LP495,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614763,121.00371,,,,,,,16,2023-04-30,OSP
MNL035 LP495 NP7-8,MNL035,LP495,NP7-8,MNL035 LP495,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614763,121.00371,,,,,,,16,2023-04-30,OSP
MNL035 LP496 NP1-2,MNL035,LP496,NP1-2,MNL035 LP496,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614922,121.00355,,,,,,,16,2023-04-30,OSP
MNL035 LP496 NP3-4,MNL035,LP496,NP3-4,MNL035 LP496,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614922,121.00355,,,,,,,16,2023-04-30,OSP
MNL035 LP496 NP5-6,MNL035,LP496,NP5-6,MNL035 LP496,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615187,121.00329,,,,,,,16,2023-04-30,OSP
MNL035 LP496 NP7-8,MNL035,LP496,NP7-8,MNL035 LP496,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615187,121.00329,,,,,,,16,2023-04-30,OSP
MNL035 LP497 NP1-2,MNL035,LP497,NP1-2,MNL035 LP497,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615519,121.00279,,,,,,,16,2023-04-30,OSP
MNL035 LP497 NP3-4,MNL035,LP497,NP3-4,MNL035 LP497,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615519,121.00279,,,,,,,16,2023-04-30,OSP
MNL035 LP497 NP5-6,MNL035,LP497,NP5-6,MNL035 LP497,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615603,121.00269,,,,,,,16,2023-04-30,OSP
MNL035 LP497 NP7-8,MNL035,LP497,NP7-8,MNL035 LP497,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615603,121.00269,,,,,,,16,2023-04-30,OSP
MNL035 LP498 NP1-2,MNL035,LP498,NP1-2,MNL035 LP498,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.61581,121.00245,,,,,,,16,2023-04-30,OSP
MNL035 LP498 NP3-4,MNL035,LP498,NP3-4,MNL035 LP498,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.61581,121.00245,,,,,,,16,2023-04-30,OSP
MNL035 LP404 NP1-2,MNL035,LP404,NP1-2,MNL035 LP404,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614481,121.003547,,,,,,,16,2021-05-02,OSP
MNL035 LP404 NP3-4-5,MNL035,LP404,NP3-4-5,MNL035 LP404,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614784,121.003779,,,,,,,24,2021-05-02,OSP
MNL035 LP498 NP5-6,MNL035,LP498,NP5-6,MNL035 LP498,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615977,121.00226,,,,,,,16,2023-04-30,OSP
MNL035 LP498 NP7-8,MNL035,LP498,NP7-8,MNL035 LP498,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615977,121.00226,,,,,,,16,2023-04-30,OSP
MNL035 LP499 NP1-2,MNL035,LP499,NP1-2,MNL035 LP499,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614796,121.00308,,,,,,,16,2023-04-30,OSP
MNL035 LP499 NP3-4,MNL035,LP499,NP3-4,MNL035 LP499,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615277,121.00243,,,,,,,16,2023-04-30,OSP
MNL035 LP499 NP5-6,MNL035,LP499,NP5-6,MNL035 LP499,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615277,121.00243,,,,,,,16,2023-04-30,OSP
MNL035 LP499 NP7-8,MNL035,LP499,NP7-8,MNL035 LP499,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615361,121.00217,,,,,,,16,2023-04-30,OSP
MNL035 LP50 NP1-2,MNL035,LP50,NP1-2,MNL035 LP50,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615227,121.002598,,,,,,,16,2021-04-28,OSP
MNL035 LP50 NP3-4-5,MNL035,LP50,NP3-4-5,MNL035 LP50,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615404,121.002024,,,,,,,24,2021-04-28,OSP
MNL035 LP50 NP6-7-8,MNL035,LP50,NP6-7-8,MNL035 LP50,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615475,121.001766,,,,,,,24,2021-04-28,OSP
MNL035 LP500 NP1-2,MNL035,LP500,NP1-2,MNL035 LP500,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615431,121.00192,,,,,,,16,2023-04-30,OSP
MNL035 LP500 NP3-4,MNL035,LP500,NP3-4,MNL035 LP500,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615866,121.00192,,,,,,,16,2023-04-30,OSP
MNL035 LP500 NP5-6,MNL035,LP500,NP5-6,MNL035 LP500,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.616122,121.00207,,,,,,,16,2023-04-30,OSP
MNL035 LP500 NP7-8,MNL035,LP500,NP7-8,MNL035 LP500,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.616122,121.00207,,,,,,,16,2023-04-30,OSP
MNL035 LP49 NP1-2,MNL035,LP49,NP1-2,MNL035 LP49,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.616139,121.002027,,,,,,,16,2021-04-28,OSP
MNL035 LP510 NP7-8,MNL035,LP510,NP7-8,MNL035 LP510,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.615021,121.00226,,,,,,,16,2023-04-30,OSP
MNL035 LP512 NP3-4,MNL035,LP512,NP3-4,MNL035 LP512,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 531,,,14.614871,121.00291,,,,,,,16,2023-04-30,OSP
MNL002 LP100 NP7-8,MNL002,LP100,NP7-8,MNL002 LP100,Don Quintos,MANILA,3,1,BARANGAY 532,,,14.612382,121.002016,,,,,,,16,2018-05-10,OSP
MNL002 LP350 NP5-6,MNL002,LP350,NP5-6,MNL002 LP350,Don Quintos,MANILA,3,1,BARANGAY 532,,,14.612625,121.00134,,,,,,,16,2020-03-16,OSP
MNL002 LP350 NP7-8,MNL002,LP350,NP7-8,MNL002 LP350,Don Quintos,MANILA,3,1,BARANGAY 532,,,14.612864,121.001592,,,,,,,16,2020-03-16,OSP
MNL002 LP351 NP1-2,MNL002,LP351,NP1-2,MNL002 LP351,Don Quintos,MANILA,3,1,BARANGAY 532,,,14.61242,121.001712,,,,,,,16,2020-03-16,OSP
MNL002 LP351 NP7-8,MNL002,LP351,NP7-8,MNL002 LP351,Don Quintos,MANILA,3,1,BARANGAY 532,,,14.61309,121.001884,,,,,,,16,2020-03-16,OSP
MNL035 LP519 NP1-2,MNL035,LP519,NP1-2,MNL035 LP519,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.61312,121.00185,,,,,,,16,2023-04-30,OSP
MNL035 LP519 NP3-4,MNL035,LP519,NP3-4,MNL035 LP519,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.612413,121.00203,,,,,,,16,2023-04-30,OSP
MNL035 LP519 NP5-6,MNL035,LP519,NP5-6,MNL035 LP519,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.612791,121.00159,,,,,,,16,2023-04-30,OSP
MNL035 LP519 NP7-8,MNL035,LP519,NP7-8,MNL035 LP519,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.613039,121.00154,,,,,,,16,2023-04-30,OSP
MNL035 LP520 NP1-2,MNL035,LP520,NP1-2,MNL035 LP520,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.613192,121.00149,,,,,,,16,2023-04-30,OSP
MNL035 LP520 NP5-6,MNL035,LP520,NP5-6,MNL035 LP520,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.61329,121.00105,,,,,,,16,2023-04-30,OSP
MNL035 LP520 NP7-8,MNL035,LP520,NP7-8,MNL035 LP520,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.612688,121.00128,,,,,,,16,2023-04-30,OSP
MNL035 LP206 NP1-2,MNL035,LP206,NP1-2,MNL035 LP206,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.612449,121.002025,,,,,,,16,2021-04-28,OSP
MNL035 LP207 NP3-4,MNL035,LP207,NP3-4,MNL035 LP207,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.612877,121.001237,,,,,,,16,2021-04-28,OSP
MNL035 LP207 NP5-6,MNL035,LP207,NP5-6,MNL035 LP207,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 532,,,14.612353,121.001101,,,,,,,16,2021-04-28,OSP
MNL002 LP100 NP5-6,MNL002,LP100,NP5-6,MNL002 LP100,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.612472,121.002342,,,,,,,16,2018-05-10,OSP
MNL002 LP100 NP1-2,MNL002,LP100,NP1-2,MNL002 LP100,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.612711,121.002957,,,,,,,16,2018-05-10,OSP
MNL002 LP100 NP3-4,MNL002,LP100,NP3-4,MNL002 LP100,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.612574,121.002652,,,,,,,16,2018-05-10,OSP
MNL002 LP352 NP3-4,MNL002,LP352,NP3-4,MNL002 LP352,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.612577,121.002352,,,,,,,16,2020-03-16,OSP
MNL002 LP353 NP1-2,MNL002,LP353,NP1-2,MNL002 LP353,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.61287,121.002568,,,,,,,16,2020-03-16,OSP
MNL002 LP353 NP3-4,MNL002,LP353,NP3-4,MNL002 LP353,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.613112,121.002824,,,,,,,16,2020-03-16,OSP
MNL002 LP346 NP7-8,MNL002,LP346,NP7-8,MNL002 LP346,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.613272,121.00307,,,,,,,16,2020-03-16,OSP
MNL002 LP347 NP1-2,MNL002,LP347,NP1-2,MNL002 LP347,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.61363,121.002923,,,,,,,16,2020-03-16,OSP
MNL002 LP346 NP5-6,MNL002,LP346,NP5-6,MNL002 LP346,Don Quintos,MANILA,3,1,BARANGAY 533,,,14.612945,121.003205,,,,,,,16,2020-03-16,OSP
MNL035 LP517 NP7-8,MNL035,LP517,NP7-8,MNL035 LP517,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612497,121.00236,,,,,,,16,2023-04-30,OSP
MNL035 LP518 NP1-2,MNL035,LP518,NP1-2,MNL035 LP518,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612898,121.00224,,,,,,,16,2023-04-30,OSP
MNL035 LP518 NP3-4,MNL035,LP518,NP3-4,MNL035 LP518,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.613183,121.00219,,,,,,,16,2023-04-30,OSP
MNL035 LP202 NP3-4-5,MNL035,LP202,NP3-4-5,MNL035 LP202,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612789,121.002948,,,,,,,24,2021-04-28,OSP
MNL035 LP202 NP6-7-8,MNL035,LP202,NP6-7-8,MNL035 LP202,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612839,121.00326,,,,,,,24,2021-04-28,OSP
MNL035 LP204 NP3-4-5,MNL035,LP204,NP3-4-5,MNL035 LP204,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612663,121.002633,,,,,,,24,2021-04-28,OSP
MNL035 LP205 NP1-2,MNL035,LP205,NP1-2,MNL035 LP205,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612743,121.00229,,,,,,,16,2021-04-28,OSP
MNL035 LP515 NP5-6,MNL035,LP515,NP5-6,MNL035 LP515,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.613101,121.0028,,,,,,,16,2023-04-30,OSP
MNL035 LP515 NP7-8,MNL035,LP515,NP7-8,MNL035 LP515,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612862,121.00289,,,,,,,16,2023-04-30,OSP
MNL035 LP516 NP1-2,MNL035,LP516,NP1-2,MNL035 LP516,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612747,121.00296,,,,,,,16,2023-04-30,OSP
MNL035 LP516 NP5-6,MNL035,LP516,NP5-6,MNL035 LP516,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612962,121.00324,,,,,,,16,2023-04-30,OSP
MNL035 LP516 NP7-8,MNL035,LP516,NP7-8,MNL035 LP516,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.613296,121.00305,,,,,,,16,2023-04-30,OSP
MNL035 LP517 NP1-2,MNL035,LP517,NP1-2,MNL035 LP517,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612602,121.00266,,,,,,,16,2023-04-30,OSP
MNL035 LP517 NP3-4,MNL035,LP517,NP3-4,MNL035 LP517,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.612915,121.00251,,,,,,,16,2023-04-30,OSP
MNL035 LP517 NP5-6,MNL035,LP517,NP5-6,MNL035 LP517,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.613212,121.0024,,,,,,,16,2023-04-30,OSP
MNL035 LP12 NP1-2,MNL035,LP12,NP1-2,MNL035 LP12,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.61327,121.003082,,,,,,,16,2021-04-28,OSP
MNL035 LP12 NP3-4,MNL035,LP12,NP3-4,MNL035 LP12,Pureza (Legarda / Lacson),MANILA,3,1,BARANGAY 533,,,14.613646,121.00292,,,,,,,16,2021-04-28,OSP
