Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL046 LP70 NP1-2,MNL046,LP70,NP1-2,MNL046 LP70,Reten Apartment,MANILA,3,1,BARANGAY 481,,,14.61243394,120.9903694,,,,,,,16,2022-03-13,OSP
MNL046 LP46 NP6-8,MNL046,LP46,NP6-8,MNL046 LP46,Reten Apartment,MANILA,3,1,BARANGAY 481,,,14.61304,120.99077,,,,,,,24,2022-04-04,OSP
MNL046 LP243 NP7,MNL046,LP243,NP7,MNL046 LP243,Reten Apartment,MANILA,3,1,BARANGAY 481,,"BELLAGIO RESIDENCES - SAMPALOC, MANILA",14.612821,120.990068,,9F,EE ROOM BUILDING A,MNL91P,,,,2022-04-18,ISP
MNL046 LP244 NP1,MNL046,LP244,NP1,MNL046 LP244,Reten Apartment,MANILA,3,1,BARANGAY 481,,"BELLAGIO RESIDENCES - SAMPALOC, MANILA",14.612821,120.990068,,14F,EE ROOM BUILDING A,MNL91P,,,,2022-04-18,ISP
MNL046 LP243 NP1-2,MNL046,LP243,NP1-2,MNL046 LP243,Reten Apartment,MANILA,3,1,BARANGAY 481,,"BELLAGIO RESIDENCES - SAMPALOC, MANILA",14.612821,120.990068,,3F,EE ROOM BUILDING A,MNL91P,,,,2022-04-18,ISP
MNL046 LP243 NP8,MNL046,LP243,NP8,MNL046 LP243,Reten Apartment,MANILA,3,1,BARANGAY 481,,"BELLAGIO RESIDENCES - SAMPALOC, MANILA",14.612821,120.990068,,11F,EE ROOM BUILDING A,MNL91P,,,,2022-04-18,ISP
MNL046 LP243 NP3-4,MNL046,LP243,NP3-4,MNL046 LP243,Reten Apartment,MANILA,3,1,BARANGAY 481,,"BELLAGIO RESIDENCES - SAMPALOC, MANILA",14.612821,120.990068,,5F,EE ROOM BUILDING A,MNL91P,,,,2022-04-18,ISP
MNL046 LP243 NP5-6,MNL046,LP243,NP5-6,MNL046 LP243,Reten Apartment,MANILA,3,1,BARANGAY 481,,"BELLAGIO RESIDENCES - SAMPALOC, MANILA",14.612821,120.990068,,7F,EE ROOM BUILDING A,MNL91P,,,,2022-04-18,ISP
MNL046 LP244 NP2,MNL046,LP244,NP2,MNL046 LP244,Reten Apartment,MANILA,3,1,BARANGAY 481,,"BELLAGIO RESIDENCES - SAMPALOC, MANILA",14.612821,120.990068,,16F,EE ROOM BUILDING A,MNL91P,,,,2022-04-18,ISP
MNL002 LP249 NP5-6,MNL002,LP249,NP5-6,MNL002 LP249,Don Quintos,MANILA,3,1,BARANGAY 482,,,14.616865,120.989726,,,,,,,16,2019-11-30,OSP
MNL002 LP249 NP7-8,MNL002,LP249,NP7-8,MNL002 LP249,Don Quintos,MANILA,3,1,BARANGAY 482,,,14.617546,120.989004,,,,,,,16,2019-11-30,OSP
MNL002 LP250 NP1-2,MNL002,LP250,NP1-2,MNL002 LP250,Don Quintos,MANILA,3,1,BARANGAY 482,,,14.61794,120.989024,,,,,,,16,2019-11-30,OSP
MNL002 LP250 NP3-4,MNL002,LP250,NP3-4,MNL002 LP250,Don Quintos,MANILA,3,1,BARANGAY 482,,,14.617438,120.989568,,,,,,,16,2020-08-06,OSP
MNL002 LP34 NP5-6,MNL002,LP34,NP5-6,MNL002 LP34,Don Quintos,MANILA,3,1,BARANGAY 482,,,14.61785,120.98977,,,,,,,16,2020-08-27,OSP
MNL046 LP98 NP1-2,MNL046,LP98,NP1-2,MNL046 LP98,Reten Apartment,MANILA,3,1,BARANGAY 482,,,14.617578,120.99001,,,,,,,16,2022-02-20,OSP
MNL046 LP94 NP7-8,MNL046,LP94,NP7-8,MNL046 LP94,Reten Apartment,MANILA,3,1,BARANGAY 482,,,14.616823,120.98969,,,,,,,16,2022-02-20,OSP
MNL046 LP95 NP3-5,MNL046,LP95,NP3-5,MNL046 LP95,Reten Apartment,MANILA,3,1,BARANGAY 482,,,14.617679,120.98938,,,,,,,24,2022-02-20,OSP
MNL046 LP71 NP5-6,MNL046,LP71,NP5-6,MNL046 LP71,Reten Apartment,MANILA,3,1,BARANGAY 482,,,14.6171389,120.9889615,,,,,,,16,2022-03-13,OSP
MNL046 LP71 NP7-8,MNL046,LP71,NP7-8,MNL046 LP71,Reten Apartment,MANILA,3,1,BARANGAY 482,,,14.61749088,120.9889776,,,,,,,16,2022-03-13,OSP
MNL002 LP255 NP5-6,MNL002,LP255,NP5-6,MNL002 LP255,Don Quintos,MANILA,3,1,BARANGAY 483,,,14.617817,120.990754,,,,,,,16,2019-11-30,OSP
MNL002 LP255 NP7-8,MNL002,LP255,NP7-8,MNL002 LP255,Don Quintos,MANILA,3,1,BARANGAY 483,,,14.617354,120.990261,,,,,,,16,2019-11-30,OSP
MNL002 LP256 NP3-4,MNL002,LP256,NP3-4,MNL002 LP256,Don Quintos,MANILA,3,1,BARANGAY 483,,,14.618903,120.98978,,,,,,,16,2019-11-30,OSP
MNL002 LP34 NP1-2,MNL002,LP34,NP1-2,MNL002 LP34,Don Quintos,MANILA,3,1,BARANGAY 483,,,14.618383,120.989213,,,,,,,16,2017-11-29,OSP
