Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL036 LP79 NP1-2,MNL036,LP79,NP1-2,MNL036 LP79,Juan Luna/ Solis,MANILA,3,1,BARANGAY 110,,,14.617728,120.961067,,,,,,,16,2020-07-30,OSP
MNL036 LP79 NP3-4,MNL036,LP79,NP3-4,MNL036 LP79,Juan Luna/ Solis,MANILA,3,1,BARANGAY 110,,,14.617454,120.960501,,,,,,,16,2020-07-30,OSP
MNL036 LP79 NP5-6,MNL036,LP79,NP5-6,MNL036 LP79,Juan Luna/ Solis,MANILA,3,1,BARANGAY 110,,,14.617319,120.960491,,,,,,,16,2020-07-30,OSP
MNL036 LP79 NP7-8,MNL036,LP79,NP7-8,MNL036 LP79,Juan Luna/ Solis,MANILA,3,1,BARANGAY 110,,,14.617099,120.96053,,,,,,,16,2020-07-30,OSP
MNL045 LP20 NP1-2,MNL045,LP20,NP1-2,MNL045 LP20,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.617418,120.961429,,,,,,,16,2021-08-30,OSP
MNL045 LP22 NP1-2,MNL045,LP22,NP1-2,MNL045 LP22,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.617103,120.960537,,,,,,,16,2021-08-30,OSP
MNL045 LP22 NP3-4,MNL045,LP22,NP3-4,MNL045 LP22,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.617314,120.960494,,,,,,,16,2021-08-30,OSP
MNL045 LP19 NP5-6,MNL045,LP19,NP5-6,MNL045 LP19,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.616899,120.961446,,,,,,,16,2021-08-30,OSP
MNL045 LP19 NP7-8,MNL045,LP19,NP7-8,MNL045 LP19,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.617145,120.961442,,,,,,,16,2021-08-30,OSP
MNL045 LP21 NP1-2,MNL045,LP21,NP1-2,MNL045 LP21,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.617319,120.961019,,,,,,,16,2021-08-30,OSP
MNL045 LP21 NP3-4,MNL045,LP21,NP3-4,MNL045 LP21,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.617119,120.961057,,,,,,,16,2021-08-30,OSP
MNL045 LP21 NP5-6,MNL045,LP21,NP5-6,MNL045 LP21,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.616895,120.96102,,,,,,,16,2021-08-30,OSP
MNL045 LP21 NP7-8,MNL045,LP21,NP7-8,MNL045 LP21,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.61685,120.960557,,,,,,,16,2021-08-30,OSP
MNL045 LP22 NP5-6,MNL045,LP22,NP5-6,MNL045 LP22,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.617461,120.960509,,,,,,,16,2021-08-30,OSP
MNL045 LP91 NP1-2,MNL045,LP91,NP1-2,MNL045 LP91,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.614612,120.961387,,,,,,,16,2021-08-30,OSP
MNL045 LP91 NP3-4,MNL045,LP91,NP3-4,MNL045 LP91,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.614612,120.961384,,,,,,,16,2021-08-30,OSP
MNL045 LP93 NP1-2,MNL045,LP93,NP1-2,MNL045 LP93,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.614485,120.960703,,,,,,,16,2021-08-30,OSP
MNL045 LP93 NP3-4,MNL045,LP93,NP3-4,MNL045 LP93,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.614485,120.960703,,,,,,,16,2021-08-30,OSP
MNL045 LP93 NP5-6,MNL045,LP93,NP5-6,MNL045 LP93,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.614448,120.960472,,,,,,,16,2021-08-30,OSP
MNL045 LP93 NP7-8,MNL045,LP93,NP7-8,MNL045 LP93,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.614448,120.960473,,,,,,,16,2021-08-30,OSP
MNL045 LP87 NP5-6,MNL045,LP87,NP5-6,MNL045 LP87,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.616348,120.961553,,,,,,,16,2021-08-30,OSP
MNL045 LP87 NP7-8,MNL045,LP87,NP7-8,MNL045 LP87,Radial Road 10,MANILA,3,1,BARANGAY 110,,,14.616345,120.961555,,,,,,,16,2021-08-30,OSP
MNL003 LP141 NP5-6,MNL003,LP141,NP5-6,MNL003 LP141,City Square,MANILA,3,1,BARANGAY 111,,,14.61798762,120.9637649,,,,,,,16,2018-11-29,OSP
MNL003 LP141 NP7-8,MNL003,LP141,NP7-8,MNL003 LP141,City Square,MANILA,3,1,BARANGAY 111,,,14.61744992,120.9638702,,,,,,,16,2018-11-29,OSP
MNL036 LP70 NP5-6,MNL036,LP70,NP5-6,MNL036 LP70,Juan Luna/ Solis,MANILA,3,1,BARANGAY 111,,,14.618042,120.96408,,,,,,,16,2020-07-30,OSP
MNL036 LP70 NP7-8,MNL036,LP70,NP7-8,MNL036 LP70,Juan Luna/ Solis,MANILA,3,1,BARANGAY 111,,,14.617254,120.963915,,,,,,,16,2020-07-30,OSP
MNL036 LP71 NP7-8,MNL036,LP71,NP7-8,MNL036 LP71,Juan Luna/ Solis,MANILA,3,1,BARANGAY 111,,,14.616965,120.963676,,,,,,,16,2020-07-30,OSP
MNL036 LP72 NP1-2,MNL036,LP72,NP1-2,MNL036 LP72,Juan Luna/ Solis,MANILA,3,1,BARANGAY 111,,,14.617697,120.963556,,,,,,,16,2020-07-30,OSP
MNL036 LP70 NP3-4,MNL036,LP70,NP3-4,MNL036 LP70,Juan Luna/ Solis,MANILA,3,1,BARANGAY 111,,,14.617156,120.964252,,,,,,,16,2020-07-30,OSP
MNL045 LP4 NP1-2,MNL045,LP4,NP1-2,MNL045 LP4,Radial Road 10,MANILA,3,1,BARANGAY 111,,,14.616955,120.963676,,,,,,,16,2021-08-30,OSP
MNL045 LP4 NP3-4,MNL045,LP4,NP3-4,MNL045 LP4,Radial Road 10,MANILA,3,1,BARANGAY 111,,,14.617216,120.963651,,,,,,,16,2021-08-30,OSP
MNL045 LP4 NP5-6,MNL045,LP4,NP5-6,MNL045 LP4,Radial Road 10,MANILA,3,1,BARANGAY 111,,,14.617216,120.963651,,,,,,,16,2021-08-30,OSP
MNL045 LP4 NP7-8,MNL045,LP4,NP7-8,MNL045 LP4,Radial Road 10,MANILA,3,1,BARANGAY 111,,,14.617707,120.96356,,,,,,,16,2021-08-30,OSP
