Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL034 LP218 NP7-8,MNL034,LP218,NP7-8,MNL034 LP218,Benitez,MANILA,3,2,BARANGAY 762,,,14.565179,120.998352,,,,,,,16,2021-02-26,OSP
MNL034 LP221 NP1-2,MNL034,LP221,NP1-2,MNL034 LP221,Benitez,MANILA,3,2,BARANGAY 762,,,14.565494,120.998053,,,,,,,16,2021-02-26,OSP
MNL034 LP221 NP3-4,MNL034,LP221,NP3-4,MNL034 LP221,Benitez,MANILA,3,2,BARANGAY 762,,,14.565618,120.998354,,,,,,,16,2021-02-26,OSP
MNL034 LP30 NP3-4,MNL034,LP30,NP3-4,MNL034 LP30,Benitez,MANILA,3,2,BARANGAY 762,,,14.565329,120.99864,,,,,,,16,2020-03-08,OSP
MNL034 LP30 NP5-6,MNL034,LP30,NP5-6,MNL034 LP30,Benitez,MANILA,3,2,BARANGAY 762,,,14.564985,120.998808,,,,,,,16,2020-03-08,OSP
MNL034 LP212 NP7-8,MNL034,LP212,NP7-8,MNL034 LP212,Benitez,MANILA,3,2,BARANGAY 762,,,14.564021,120.998331,,,,,,,16,2021-02-26,OSP
MNL001 LP180 NP3-4,MNL001,LP180,NP3-4,MNL001 LP180,Zen Tower,MANILA,3,2,BARANGAY 762,,,14.5646508,120.9981754,,,,,,,16,2019-01-16,OSP
MNL034 LP72 NP5-6,MNL034,LP72,NP5-6,MNL034 LP72,Benitez,MANILA,3,2,BARANGAY 763,,,14.568739,121.00477,,,,,,,16,2020-06-22,OSP
MNL034 LP72 NP7-8,MNL034,LP72,NP7-8,MNL034 LP72,Benitez,MANILA,3,2,BARANGAY 763,,,14.569184,121.004902,,,,,,,16,2020-06-22,OSP
MNL034 LP67 NP5-6,MNL034,LP67,NP5-6,MNL034 LP67,Benitez,MANILA,3,2,BARANGAY 763,,,14.568421,121.00459,,,,,,,16,2020-06-22,OSP
MNL034 LP67 NP7-8,MNL034,LP67,NP7-8,MNL034 LP67,Benitez,MANILA,3,2,BARANGAY 763,,,14.568149,121.004386,,,,,,,16,2020-06-22,OSP
MKT003 LP140 NP3-4,MKT003,LP140,NP3-4,MKT003 LP140,Centuria,MANILA,3,2,BARANGAY 763,,,14.56850494,121.0054983,,,,,,,16,2019-02-27,OSP
MKT003 LP140 NP5-6,MKT003,LP140,NP5-6,MKT003 LP140,Centuria,MANILA,3,2,BARANGAY 763,,,14.56778655,121.0047618,,,,,,,16,2019-02-27,OSP
MNL004 LP540 NP6-8,MNL004,LP540,NP6-8,MNL004 LP540,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.569526,121.004537,,,,,,,24,2022-12-29,OSP
MNL004 LP541 NP1-2,MNL004,LP541,NP1-2,MNL004 LP541,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.569217,121.00487,,,,,,,16,2022-12-29,OSP
MNL004 LP541 NP3-5,MNL004,LP541,NP3-5,MNL004 LP541,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568863,121.005243,,,,,,,24,2022-12-29,OSP
MNL004 LP535 NP1-2,MNL004,LP535,NP1-2,MNL004 LP535,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568576,121.004946,,,,,,,16,2022-12-29,OSP
MNL004 LP535 NP3-4,MNL004,LP535,NP3-4,MNL004 LP535,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568752,121.00476,,,,,,,16,2022-12-29,OSP
MNL004 LP535 NP5-6,MNL004,LP535,NP5-6,MNL004 LP535,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568985,121.004513,,,,,,,16,2022-12-29,OSP
MNL004 LP535 NP7-8,MNL004,LP535,NP7-8,MNL004 LP535,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.569245,121.004247,,,,,,,16,2022-12-29,OSP
MNL004 LP534 NP1-2,MNL004,LP534,NP1-2,MNL004 LP534,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568964,121.004038,,,,,,,16,2022-12-29,OSP
MNL004 LP534 NP3-4,MNL004,LP534,NP3-4,MNL004 LP534,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568594,121.004426,,,,,,,16,2022-12-29,OSP
MNL004 LP534 NP5-6,MNL004,LP534,NP5-6,MNL004 LP534,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568395,121.004642,,,,,,,16,2022-12-29,OSP
MNL004 LP534 NP7-8,MNL004,LP534,NP7-8,MNL004 LP534,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568267,121.004771,,,,,,,16,2022-12-29,OSP
MNL004 LP523 NP7-8,MNL004,LP523,NP7-8,MNL004 LP523,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.567801,121.004763,,,,,,,16,2022-12-29,OSP
MNL004 LP524 NP1-2,MNL004,LP524,NP1-2,MNL004 LP524,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568413,121.004104,,,,,,,16,2022-12-29,OSP
MNL004 LP524 NP3-5,MNL004,LP524,NP3-5,MNL004 LP524,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568676,121.003832,,,,,,,24,2022-12-29,OSP
MNL004 LP512 NP3-4,MNL004,LP512,NP3-4,MNL004 LP512,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568522,121.005478,,,,,,,16,2022-12-30,OSP
MNL004 LP512 NP5-6,MNL004,LP512,NP5-6,MNL004 LP512,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568286,121.005228,,,,,,,16,2022-12-30,OSP
MNL004 LP512 NP7-8,MNL004,LP512,NP7-8,MNL004 LP512,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568037,121.00498,,,,,,,16,2022-12-30,OSP
MNL004 LP513 NP1-2,MNL004,LP513,NP1-2,MNL004 LP513,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.567795,121.004745,,,,,,,16,2022-12-30,OSP
MNL004 LP117 NP3-4,MNL004,LP117,NP3-4,MNL004 LP117,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568042,121.005011,,,,,,,16,2020-09-27,OSP
MNL004 LP117 NP5-6,MNL004,LP117,NP5-6,MNL004 LP117,Zamora Pandacan,MANILA,3,2,BARANGAY 763,,,14.568278,121.005219,,,,,,,16,2020-09-27,OSP
