Box Name,OLT,LCP,NAP,LCP Name,Node Name,Municipality,Cluster,Sector,Barangay,Subdivision,Building Name,Latitude,Longitude,Parent Site,Parent Floor,Parent Room,Additional Details,Remarks,Landmark,Capacity,Installation Date,OSP / ISP
MNL045 LP388 NP6-8,MNL045,LP388,NP6-8,MNL045 LP388,Radial Road 10,MANILA,3,1,BARANGAY 94,,,14.621888,120.966994,,,,,,,24,2021-12-21,OSP
MNL045 LP385 NP1-2,MNL045,LP385,NP1-2,MNL045 LP385,Radial Road 10,MANILA,3,1,BARANGAY 94,,,14.621152,120.965312,,,,,,,16,2021-12-21,OSP
MNL045 LP385 NP3-5,MNL045,LP385,NP3-5,MNL045 LP385,Radial Road 10,MANILA,3,1,BARANGAY 94,,,14.621307,120.965971,,,,,,,24,2021-12-21,OSP
MNL045 LP142 NP7-8,MNL045,LP142,NP7-8,MNL045 LP142,Radial Road 10,MANILA,3,1,BARANGAY 94,,,14.621171,120.965322,,,,MTF VELASQUEZ-H. LOPEZ BLVD.,,VELASQUEZ ST. COR. MALVAR. ST. MECO NPT,16,2021-08-31,OSP
MNL045 LP143 NP1-2,MNL045,LP143,NP1-2,MNL045 LP143,Radial Road 10,MANILA,3,1,BARANGAY 94,,,14.621504,120.965246,,,,MTF VELASQUEZ-H. LOPEZ BLVD.,,VELASQUEZ ST. COR. 350 NEPOMUCENO ST. CICTSI-NPT,16,2021-08-31,OSP
MNL045 LP143 NP7-8,MNL045,LP143,NP7-8,MNL045 LP143,Radial Road 10,MANILA,3,1,BARANGAY 94,,,14.622545,120.964976,,,,MTF VELASQUEZ-H. LOPEZ BLVD.,,INFRONT OF 2115 VELASQUEZ ST. MECO K3-745,16,2021-08-31,OSP
MNL045 LP144 NP1-2,MNL045,LP144,NP1-2,MNL045 LP144,Radial Road 10,MANILA,3,1,BARANGAY 94,,,14.622847,120.964895,,,,MTF VELASQUEZ-H. LOPEZ BLVD.,,VELASQUEZ ST. COR. SIMOUN ST. MECO K3-1538,16,2021-08-31,OSP
MNL003 LP140 NP1-2,MNL003,LP140,NP1-2,MNL003 LP140,City Square,MANILA,3,1,BARANGAY 95,,,14.61990777,120.9655496,,,,,,,16,2018-11-29,OSP
MNL003 LP140 NP7-8,MNL003,LP140,NP7-8,MNL003 LP140,City Square,MANILA,3,1,BARANGAY 95,,,14.61850032,120.9646171,,,,,,,16,2018-11-29,OSP
MNL003 LP131 NP5-6,MNL003,LP131,NP5-6,MNL003 LP131,City Square,MANILA,3,1,BARANGAY 95,,,14.62043546,120.9654409,,,,,,,16,2018-11-29,OSP
